"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 14:53:02 GMT 2024","Tue Feb 06 14:53:04 GMT 2024","1791","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [3] JACKET",""
"passed","Tue Feb 06 14:51:56 GMT 2024","Tue Feb 06 14:51:56 GMT 2024","2","","allure.lesson.LabelsTest","","allure.lesson.LabelsTest","testDinamicLabels","созданиу issue для авторизованного пользователя",""
"passed","Tue Feb 06 14:52:28 GMT 2024","Tue Feb 06 14:52:29 GMT 2024","1616","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","formWithMinData","formWithMinData()",""
"passed","Tue Feb 06 14:53:32 GMT 2024","Tue Feb 06 14:53:33 GMT 2024","1284","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldNotBeEmpty","serchResultShouldNotBeEmpty(String) Возвращается не пустой список карточек на запрос JUnit 5",""
"passed","Tue Feb 06 14:52:10 GMT 2024","Tue Feb 06 14:52:10 GMT 2024","1","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","zipParsingTest","zipParsingTest()",""
"skipped","Tue Feb 06 14:53:09 GMT 2024","Tue Feb 06 14:53:09 GMT 2024","0","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentAfterChangePatmentTest","емэйл должен быть отправлен  пользователю после изменения способа оплаты",""
"passed","Tue Feb 06 14:51:51 GMT 2024","Tue Feb 06 14:51:55 GMT 2024","4066","","allure.lesson.AttachmentTest","","allure.lesson.AttachmentTest","testLambdaAttachment","testLambdaAttachment()",""
"passed","Tue Feb 06 14:52:34 GMT 2024","Tue Feb 06 14:52:36 GMT 2024","2236","","hw.PracticeFormTest","","hw.PracticeFormTest","practiceFormTest","practiceFormTest()",""
"passed","Tue Feb 06 14:52:10 GMT 2024","Tue Feb 06 14:52:10 GMT 2024","7","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","jsonParsingTestNextLevel","создали класс Human и Passport",""
"passed","Tue Feb 06 14:52:54 GMT 2024","Tue Feb 06 14:52:55 GMT 2024","930","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [1] Sauce Labs Backpack, $29.99, carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.",""
"passed","Tue Feb 06 14:52:10 GMT 2024","Tue Feb 06 14:52:10 GMT 2024","31","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","jsonParsingTest","jsonParsingTest()",""
"passed","Tue Feb 06 14:52:22 GMT 2024","Tue Feb 06 14:52:23 GMT 2024","543","","files.lesson.SelenideFilesTest","","files.lesson.SelenideFilesTest","downloadFileWithApacheTest","скачивание файла с ссылкой href библиотека apache common io",""
"passed","Tue Feb 06 14:51:55 GMT 2024","Tue Feb 06 14:51:56 GMT 2024","965","","allure.lesson.AttachmentTest","","allure.lesson.AttachmentTest","testAnnotatedAttachment","testAnnotatedAttachment()",""
"passed","Tue Feb 06 14:53:11 GMT 2024","Tue Feb 06 14:53:11 GMT 2024","294","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectButtons","selenideSiteShouldDisplayCorrectButtons(Languege, List) [2] RU, [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
"passed","Tue Feb 06 14:52:16 GMT 2024","Tue Feb 06 14:52:16 GMT 2024","3","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","csvParsingTest","csvParsingTest()",""
"passed","Tue Feb 06 14:53:40 GMT 2024","Tue Feb 06 14:53:42 GMT 2024","1276","","testgithubselenide.Homework","","testgithubselenide.Homework","testSoftAssertions","testSoftAssertions()",""
"passed","Tue Feb 06 14:53:42 GMT 2024","Tue Feb 06 14:53:45 GMT 2024","3522","","testgithubselenide.SelenideReposytorySearch","","testgithubselenide.SelenideReposytorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Tue Feb 06 14:52:55 GMT 2024","Tue Feb 06 14:52:56 GMT 2024","1818","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [2] Sauce Labs Bike Light, $9.99, A red light isn't the desired state in testing but it sure helps when riding your bike at night. Water-resistant with 3 lighting modes, 1 AAA battery included.",""
"passed","Tue Feb 06 14:53:11 GMT 2024","Tue Feb 06 14:53:11 GMT 2024","202","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectText","selenideSiteShouldDisplayCorrectText(Languege) [2] EN",""
"passed","Tue Feb 06 14:53:00 GMT 2024","Tue Feb 06 14:53:02 GMT 2024","1742","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [2] BIKE",""
"passed","Tue Feb 06 14:52:31 GMT 2024","Tue Feb 06 14:52:33 GMT 2024","2549","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","practiceFormTest","practiceFormTest()",""
"passed","Tue Feb 06 14:53:11 GMT 2024","Tue Feb 06 14:53:11 GMT 2024","180","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectText","selenideSiteShouldDisplayCorrectText(Languege) [1] RU",""
"passed","Tue Feb 06 14:53:40 GMT 2024","Tue Feb 06 14:53:40 GMT 2024","608","","testgithubselenide.Homework","","testgithubselenide.Homework","testJunitExampleCode","testJunitExampleCode()",""
"passed","Tue Feb 06 14:52:21 GMT 2024","Tue Feb 06 14:52:22 GMT 2024","1512","","files.lesson.SelenideFilesTest","","files.lesson.SelenideFilesTest","downloadFileTest","скачивание файла с ссылкой href",""
"passed","Tue Feb 06 14:53:31 GMT 2024","Tue Feb 06 14:53:32 GMT 2024","1081","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldNotBeEmpty","serchResultShouldNotBeEmpty(String) Возвращается не пустой список карточек на запрос Selenide",""
"passed","Tue Feb 06 14:51:56 GMT 2024","Tue Feb 06 14:51:56 GMT 2024","1","","allure.lesson.LabelsTest","","allure.lesson.LabelsTest","testStaticLabels","созданиу issue для авторизованного пользователя",""
"passed","Tue Feb 06 14:53:07 GMT 2024","Tue Feb 06 14:53:09 GMT 2024","1636","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Bolt T-Shirt",""
"passed","Tue Feb 06 14:52:56 GMT 2024","Tue Feb 06 14:52:58 GMT 2024","1904","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [3] Sauce Labs Onesie, $7.99, Rib snap infant onesie for the junior automation engineer in development. Reinforced 3-snap bottom closure, two-needle hemmed sleeved and bottom won't unravel.",""
"passed","Tue Feb 06 14:53:09 GMT 2024","Tue Feb 06 14:53:09 GMT 2024","0","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentForNewUserTest","емэйл должен быть отправлен новому пользователю",""
"broken","Tue Feb 06 14:53:29 GMT 2024","Tue Feb 06 14:53:30 GMT 2024","1471","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка null для поискового запроса Selenide, https://ru.selenide.org/",""
"failed","Tue Feb 06 14:52:36 GMT 2024","Tue Feb 06 14:52:42 GMT 2024","6050","","hw.PracticeFormWithDataTest","","hw.PracticeFormWithDataTest","practiceFormTest","practiceFormTest()",""
"broken","Tue Feb 06 14:53:30 GMT 2024","Tue Feb 06 14:53:31 GMT 2024","463","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка {1} для поискового запроса Junit 5, https://junit.org/junit5/docs/current/user-guide/",""
"passed","Tue Feb 06 14:53:33 GMT 2024","Tue Feb 06 14:53:40 GMT 2024","6752","","testgithubselenide.BestContributorSelenide","","testgithubselenide.BestContributorSelenide","firstConrtibutor","firstConrtibutor()",""
