"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Feb 06 14:53:22 GMT 2024","Tue Feb 06 14:53:29 GMT 2024","6380","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка https://junit.org/junit5/docs/current/user-guide/ для поискового запроса Junit 5",""
"passed","Tue Feb 06 14:52:06 GMT 2024","Tue Feb 06 14:52:10 GMT 2024","3665","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingPdfTest","Чтение PDF из zip архива",""
"passed","Tue Feb 06 14:53:09 GMT 2024","Tue Feb 06 14:53:11 GMT 2024","2070","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectButtons","selenideSiteShouldDisplayCorrectButtons(Languege, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Tue Feb 06 14:53:05 GMT 2024","Tue Feb 06 14:53:07 GMT 2024","1681","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Bike Light",""
"passed","Tue Feb 06 14:52:02 GMT 2024","Tue Feb 06 14:52:05 GMT 2024","2181","","allure.lesson.StepsTest","","allure.lesson.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Feb 06 14:52:23 GMT 2024","Tue Feb 06 14:52:24 GMT 2024","1314","","files.lesson.SelenideFilesTest","","files.lesson.SelenideFilesTest","uploadTest","uploadTest()",""
"passed","Tue Feb 06 14:52:05 GMT 2024","Tue Feb 06 14:52:05 GMT 2024","678","","files.homework.JsonTest","","files.homework.JsonTest","jsonParsingJacksonTest","Парсинг json (Jackson)",""
"passed","Tue Feb 06 14:52:29 GMT 2024","Tue Feb 06 14:52:31 GMT 2024","1285","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","negativeTest","negativeTest()",""
"passed","Tue Feb 06 14:52:24 GMT 2024","Tue Feb 06 14:52:24 GMT 2024","2","","guru.qa.SimpleJUnitTest","","guru.qa.SimpleJUnitTest","secondTest","secondTest()",""
"passed","Tue Feb 06 14:53:04 GMT 2024","Tue Feb 06 14:53:05 GMT 2024","1677","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Backpack",""
"passed","Tue Feb 06 14:53:09 GMT 2024","Tue Feb 06 14:53:09 GMT 2024","0","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentForBannedUserTest","емэйл должен быть отправлен заблокированному пользователю",""
"passed","Tue Feb 06 14:52:50 GMT 2024","Tue Feb 06 14:52:54 GMT 2024","3860","","hw6.HoverAndClick","","hw6.HoverAndClick","hoverAndClickTest","hoverAndClickTest()",""
"passed","Tue Feb 06 14:51:56 GMT 2024","Tue Feb 06 14:52:00 GMT 2024","4124","","allure.lesson.SelenideTest","","allure.lesson.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Feb 06 14:52:50 GMT 2024","Tue Feb 06 14:52:50 GMT 2024","136","","hw6.DradAndDrop","","hw6.DradAndDrop","dragAndDropTest","dragAndDropTest()",""
"passed","Tue Feb 06 14:52:05 GMT 2024","Tue Feb 06 14:52:05 GMT 2024","49","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingCsvTest","Чтение CSV из zip архива",""
"passed","Tue Feb 06 14:53:09 GMT 2024","Tue Feb 06 14:53:09 GMT 2024","1","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","simpleTest","first test",""
"passed","Tue Feb 06 14:52:10 GMT 2024","Tue Feb 06 14:52:16 GMT 2024","5977","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","xlsParsingTest","xlsParsingTest()",""
"failed","Tue Feb 06 14:52:16 GMT 2024","Tue Feb 06 14:52:21 GMT 2024","5177","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","pdfParsingTest","pdfParsingTest()",""
"passed","Tue Feb 06 14:52:49 GMT 2024","Tue Feb 06 14:52:50 GMT 2024","634","","hw6.DradAndDrop","","hw6.DradAndDrop","actionDragAndDropTest","actionDragAndDropTest()",""
"passed","Tue Feb 06 14:52:58 GMT 2024","Tue Feb 06 14:53:00 GMT 2024","1774","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [1] BACKPACK",""
"passed","Tue Feb 06 14:52:24 GMT 2024","Tue Feb 06 14:52:24 GMT 2024","3","","guru.qa.SimpleJUnitTest","","guru.qa.SimpleJUnitTest","firstTest","firstTest()",""
"passed","Tue Feb 06 14:52:00 GMT 2024","Tue Feb 06 14:52:02 GMT 2024","2075","","allure.lesson.StepsTest","","allure.lesson.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Feb 06 14:52:05 GMT 2024","Tue Feb 06 14:52:06 GMT 2024","589","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingXlsxTest","Чтение XLS из zip архива",""
"passed","Tue Feb 06 14:52:24 GMT 2024","Tue Feb 06 14:52:27 GMT 2024","3267","","hw.BoxPageTest","","hw.BoxPageTest","boxPageTest","boxPageTest()",""
"failed","Tue Feb 06 14:53:11 GMT 2024","Tue Feb 06 14:53:22 GMT 2024","10915","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка https://ru.selenide.org/ для поискового запроса Selenide",""
"failed","Tue Feb 06 14:52:43 GMT 2024","Tue Feb 06 14:52:49 GMT 2024","6043","","hw.PracticeFormWithFakerTest","","hw.PracticeFormWithFakerTest","practiceFormTest","practiceFormTest()",""
