"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 19:22:15 GMT 2024","Tue Feb 06 19:22:16 GMT 2024","968","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldNotBeEmpty","serchResultShouldNotBeEmpty(String) Возвращается не пустой список карточек на запрос Selenide",""
"passed","Tue Feb 06 19:21:53 GMT 2024","Tue Feb 06 19:21:55 GMT 2024","1731","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Bike Light",""
"passed","Tue Feb 06 19:21:11 GMT 2024","Tue Feb 06 19:21:12 GMT 2024","1038","","files.lesson.SelenideFilesTest","","files.lesson.SelenideFilesTest","uploadTest","uploadTest()",""
"passed","Tue Feb 06 19:21:09 GMT 2024","Tue Feb 06 19:21:10 GMT 2024","1462","","files.lesson.SelenideFilesTest","","files.lesson.SelenideFilesTest","downloadFileTest","скачивание файла с ссылкой href",""
"broken","Tue Feb 06 19:22:14 GMT 2024","Tue Feb 06 19:22:15 GMT 2024","1154","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка {1} для поискового запроса Junit 5, https://junit.org/junit5/docs/current/user-guide/",""
"passed","Tue Feb 06 19:20:46 GMT 2024","Tue Feb 06 19:20:46 GMT 2024","2","","allure.lesson.LabelsTest","","allure.lesson.LabelsTest","testDinamicLabels","созданиу issue для авторизованного пользователя",""
"passed","Tue Feb 06 19:21:10 GMT 2024","Tue Feb 06 19:21:11 GMT 2024","645","","files.lesson.SelenideFilesTest","","files.lesson.SelenideFilesTest","downloadFileWithApacheTest","скачивание файла с ссылкой href библиотека apache common io",""
"passed","Tue Feb 06 19:20:49 GMT 2024","Tue Feb 06 19:20:51 GMT 2024","2308","","allure.lesson.StepsTest","","allure.lesson.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Feb 06 19:21:44 GMT 2024","Tue Feb 06 19:21:46 GMT 2024","1911","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [3] Sauce Labs Onesie, $7.99, Rib snap infant onesie for the junior automation engineer in development. Reinforced 3-snap bottom closure, two-needle hemmed sleeved and bottom won't unravel.",""
"passed","Tue Feb 06 19:20:46 GMT 2024","Tue Feb 06 19:20:46 GMT 2024","2","","allure.lesson.LabelsTest","","allure.lesson.LabelsTest","testStaticLabels","созданиу issue для авторизованного пользователя",""
"passed","Tue Feb 06 19:21:57 GMT 2024","Tue Feb 06 19:21:57 GMT 2024","0","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","simpleTest","first test",""
"passed","Tue Feb 06 19:20:32 GMT 2024","Tue Feb 06 19:20:40 GMT 2024","7639","","Проверка корректности имени Issue","","allure.hw.IssueTest","testIssueSearch","Проверка корректности имени Issue на странице Issue с помощью чистого Selenide",""
"failed","Tue Feb 06 19:21:30 GMT 2024","Tue Feb 06 19:21:36 GMT 2024","6119","","hw.PracticeFormWithFakerTest","","hw.PracticeFormWithFakerTest","practiceFormTest","practiceFormTest()",""
"failed","Tue Feb 06 19:22:08 GMT 2024","Tue Feb 06 19:22:13 GMT 2024","5829","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка https://junit.org/junit5/docs/current/user-guide/ для поискового запроса Junit 5",""
"failed","Tue Feb 06 19:21:03 GMT 2024","Tue Feb 06 19:21:09 GMT 2024","5339","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","pdfParsingTest","pdfParsingTest()",""
"passed","Tue Feb 06 19:21:41 GMT 2024","Tue Feb 06 19:21:42 GMT 2024","1002","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [1] Sauce Labs Backpack, $29.99, carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.",""
"failed","Tue Feb 06 19:22:16 GMT 2024","Tue Feb 06 19:22:23 GMT 2024","7153","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldNotBeEmpty","serchResultShouldNotBeEmpty(String) Возвращается не пустой список карточек на запрос JUnit 5",""
"passed","Tue Feb 06 19:21:48 GMT 2024","Tue Feb 06 19:21:50 GMT 2024","1838","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [2] BIKE",""
"passed","Tue Feb 06 19:21:55 GMT 2024","Tue Feb 06 19:21:57 GMT 2024","1705","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Bolt T-Shirt",""
"passed","Tue Feb 06 19:22:32 GMT 2024","Tue Feb 06 19:22:35 GMT 2024","3676","","testgithubselenide.SelenideReposytorySearch","","testgithubselenide.SelenideReposytorySearch","shouldFindSelenideRepositoryAtTheTop","shouldFindSelenideRepositoryAtTheTop()",""
"passed","Tue Feb 06 19:20:58 GMT 2024","Tue Feb 06 19:20:58 GMT 2024","7","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","jsonParsingTestNextLevel","создали класс Human и Passport",""
"passed","Tue Feb 06 19:20:40 GMT 2024","Tue Feb 06 19:20:42 GMT 2024","2490","","Проверка корректности имени Issue","","allure.hw.IssueTest","testAnnotatedStep","Проверка корректности имени Issue на странице Issue с помощью аннотации @Step",""
"passed","Tue Feb 06 19:20:58 GMT 2024","Tue Feb 06 19:21:03 GMT 2024","5692","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","xlsParsingTest","xlsParsingTest()",""
"passed","Tue Feb 06 19:22:30 GMT 2024","Tue Feb 06 19:22:30 GMT 2024","590","","testgithubselenide.Homework","","testgithubselenide.Homework","testJunitExampleCode","testJunitExampleCode()",""
"passed","Tue Feb 06 19:21:57 GMT 2024","Tue Feb 06 19:21:57 GMT 2024","0","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentForNewUserTest","емэйл должен быть отправлен новому пользователю",""
"passed","Tue Feb 06 19:21:17 GMT 2024","Tue Feb 06 19:21:18 GMT 2024","1303","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","negativeTest","negativeTest()",""
