"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 19:21:42 GMT 2024","Tue Feb 06 19:21:44 GMT 2024","2006","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [2] Sauce Labs Bike Light, $9.99, A red light isn't the desired state in testing but it sure helps when riding your bike at night. Water-resistant with 3 lighting modes, 1 AAA battery included.",""
"passed","Tue Feb 06 19:21:12 GMT 2024","Tue Feb 06 19:21:12 GMT 2024","3","","guru.qa.SimpleJUnitTest","","guru.qa.SimpleJUnitTest","firstTest","firstTest()",""
"passed","Tue Feb 06 19:20:58 GMT 2024","Tue Feb 06 19:20:58 GMT 2024","21","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","jsonParsingTest","jsonParsingTest()",""
"failed","Tue Feb 06 19:21:59 GMT 2024","Tue Feb 06 19:22:08 GMT 2024","8245","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка https://ru.selenide.org/ для поискового запроса Selenide",""
"passed","Tue Feb 06 19:21:37 GMT 2024","Tue Feb 06 19:21:37 GMT 2024","129","","hw6.DradAndDrop","","hw6.DradAndDrop","dragAndDropTest","dragAndDropTest()",""
"passed","Tue Feb 06 19:21:52 GMT 2024","Tue Feb 06 19:21:53 GMT 2024","1718","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Backpack",""
"passed","Tue Feb 06 19:20:51 GMT 2024","Tue Feb 06 19:20:54 GMT 2024","2685","","allure.lesson.StepsTest","","allure.lesson.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Feb 06 19:21:12 GMT 2024","Tue Feb 06 19:21:12 GMT 2024","2","","guru.qa.SimpleJUnitTest","","guru.qa.SimpleJUnitTest","secondTest","secondTest()",""
"passed","Tue Feb 06 19:20:58 GMT 2024","Tue Feb 06 19:20:58 GMT 2024","1","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","zipParsingTest","zipParsingTest()",""
"passed","Tue Feb 06 19:21:15 GMT 2024","Tue Feb 06 19:21:17 GMT 2024","1834","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","formWithMinData","formWithMinData()",""
"passed","Tue Feb 06 19:21:03 GMT 2024","Tue Feb 06 19:21:03 GMT 2024","1","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","csvParsingTest","csvParsingTest()",""
"passed","Tue Feb 06 19:21:18 GMT 2024","Tue Feb 06 19:21:21 GMT 2024","2551","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","practiceFormTest","practiceFormTest()",""
"passed","Tue Feb 06 19:20:45 GMT 2024","Tue Feb 06 19:20:46 GMT 2024","1151","","allure.lesson.AttachmentTest","","allure.lesson.AttachmentTest","testAnnotatedAttachment","testAnnotatedAttachment()",""
"passed","Tue Feb 06 19:21:37 GMT 2024","Tue Feb 06 19:21:41 GMT 2024","4018","","hw6.HoverAndClick","","hw6.HoverAndClick","hoverAndClickTest","hoverAndClickTest()",""
"broken","Tue Feb 06 19:22:13 GMT 2024","Tue Feb 06 19:22:14 GMT 2024","429","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка null для поискового запроса Selenide, https://ru.selenide.org/",""
"passed","Tue Feb 06 19:20:45 GMT 2024","Tue Feb 06 19:20:45 GMT 2024","555","","allure.lesson.AttachmentTest","","allure.lesson.AttachmentTest","testLambdaAttachment","testLambdaAttachment()",""
"passed","Tue Feb 06 19:20:42 GMT 2024","Tue Feb 06 19:20:45 GMT 2024","2366","","Проверка корректности имени Issue","","allure.hw.IssueTest","testLambdaStep","Проверка корректности имени Issue на странице Issue с помощью lambda-функций",""
"passed","Tue Feb 06 19:22:30 GMT 2024","Tue Feb 06 19:22:32 GMT 2024","1257","","testgithubselenide.Homework","","testgithubselenide.Homework","testSoftAssertions","testSoftAssertions()",""
"passed","Tue Feb 06 19:20:55 GMT 2024","Tue Feb 06 19:20:55 GMT 2024","381","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingXlsxTest","Чтение XLS из zip архива",""
"passed","Tue Feb 06 19:20:55 GMT 2024","Tue Feb 06 19:20:57 GMT 2024","2506","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingPdfTest","Чтение PDF из zip архива",""
"passed","Tue Feb 06 19:21:12 GMT 2024","Tue Feb 06 19:21:14 GMT 2024","2588","","hw.BoxPageTest","","hw.BoxPageTest","boxPageTest","boxPageTest()",""
"passed","Tue Feb 06 19:21:59 GMT 2024","Tue Feb 06 19:21:59 GMT 2024","200","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectText","selenideSiteShouldDisplayCorrectText(Languege) [1] RU",""
"passed","Tue Feb 06 19:21:59 GMT 2024","Tue Feb 06 19:21:59 GMT 2024","224","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectText","selenideSiteShouldDisplayCorrectText(Languege) [2] EN",""
"passed","Tue Feb 06 19:21:57 GMT 2024","Tue Feb 06 19:21:57 GMT 2024","1","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentForBannedUserTest","емэйл должен быть отправлен заблокированному пользователю",""
"passed","Tue Feb 06 19:20:54 GMT 2024","Tue Feb 06 19:20:55 GMT 2024","500","","files.homework.JsonTest","","files.homework.JsonTest","jsonParsingJacksonTest","Парсинг json (Jackson)",""
"passed","Tue Feb 06 19:21:36 GMT 2024","Tue Feb 06 19:21:37 GMT 2024","491","","hw6.DradAndDrop","","hw6.DradAndDrop","actionDragAndDropTest","actionDragAndDropTest()",""
"passed","Tue Feb 06 19:21:21 GMT 2024","Tue Feb 06 19:21:23 GMT 2024","2042","","hw.PracticeFormTest","","hw.PracticeFormTest","practiceFormTest","practiceFormTest()",""
"passed","Tue Feb 06 19:21:50 GMT 2024","Tue Feb 06 19:21:52 GMT 2024","1857","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [3] JACKET",""
"passed","Tue Feb 06 19:20:46 GMT 2024","Tue Feb 06 19:20:49 GMT 2024","2593","","allure.lesson.SelenideTest","","allure.lesson.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Tue Feb 06 19:22:23 GMT 2024","Tue Feb 06 19:22:30 GMT 2024","6688","","testgithubselenide.BestContributorSelenide","","testgithubselenide.BestContributorSelenide","firstConrtibutor","firstConrtibutor()",""
"skipped","Tue Feb 06 19:21:57 GMT 2024","Tue Feb 06 19:21:57 GMT 2024","0","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentAfterChangePatmentTest","емэйл должен быть отправлен  пользователю после изменения способа оплаты",""
"failed","Tue Feb 06 19:21:23 GMT 2024","Tue Feb 06 19:21:30 GMT 2024","6564","","hw.PracticeFormWithDataTest","","hw.PracticeFormWithDataTest","practiceFormTest","practiceFormTest()",""
"passed","Tue Feb 06 19:20:55 GMT 2024","Tue Feb 06 19:20:55 GMT 2024","58","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingCsvTest","Чтение CSV из zip архива",""
"passed","Tue Feb 06 19:21:46 GMT 2024","Tue Feb 06 19:21:48 GMT 2024","1868","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [1] BACKPACK",""
"passed","Tue Feb 06 19:21:57 GMT 2024","Tue Feb 06 19:21:59 GMT 2024","1799","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectButtons","selenideSiteShouldDisplayCorrectButtons(Languege, List) [1] EN, [Quick start, Docs, FAQ, Blog, Javadoc, Users, Quotes]",""
"passed","Tue Feb 06 19:21:59 GMT 2024","Tue Feb 06 19:21:59 GMT 2024","318","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectButtons","selenideSiteShouldDisplayCorrectButtons(Languege, List) [2] RU, [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
