"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 06 19:09:50 GMT 2024","Tue Feb 06 19:09:50 GMT 2024","7","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","jsonParsingTestNextLevel","создали класс Human и Passport",""
"passed","Tue Feb 06 19:10:55 GMT 2024","Tue Feb 06 19:10:55 GMT 2024","1","","junit.lesson1.annotation.EmailTest","","junit.lesson1.annotation.EmailTest","emailShouldBeSentForNewUserTest","емэйл должен быть отправлен новому пользователю",""
"passed","Tue Feb 06 19:09:38 GMT 2024","Tue Feb 06 19:09:38 GMT 2024","615","","allure.lesson.AttachmentTest","","allure.lesson.AttachmentTest","testLambdaAttachment","testLambdaAttachment()",""
"passed","Tue Feb 06 19:09:47 GMT 2024","Tue Feb 06 19:09:47 GMT 2024","478","","files.homework.JsonTest","","files.homework.JsonTest","jsonParsingJacksonTest","Парсинг json (Jackson)",""
"passed","Tue Feb 06 19:10:08 GMT 2024","Tue Feb 06 19:10:08 GMT 2024","2","","guru.qa.SimpleJUnitTest","","guru.qa.SimpleJUnitTest","secondTest","secondTest()",""
"passed","Tue Feb 06 19:09:40 GMT 2024","Tue Feb 06 19:09:40 GMT 2024","2","","allure.lesson.LabelsTest","","allure.lesson.LabelsTest","testDinamicLabels","созданиу issue для авторизованного пользователя",""
"passed","Tue Feb 06 19:10:39 GMT 2024","Tue Feb 06 19:10:40 GMT 2024","1157","","Параметризованный тест c CSV файлом","","junit.homework1.annotation.ShoppingCartWithCsvFileTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(String, String, String) [1] Sauce Labs Backpack, $29.99, carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.",""
"broken","Tue Feb 06 19:11:14 GMT 2024","Tue Feb 06 19:11:15 GMT 2024","516","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка null для поискового запроса Selenide, https://ru.selenide.org/",""
"passed","Tue Feb 06 19:09:50 GMT 2024","Tue Feb 06 19:09:50 GMT 2024","1","","files.lesson.FileParsingTest","","files.lesson.FileParsingTest","zipParsingTest","zipParsingTest()",""
"passed","Tue Feb 06 19:10:59 GMT 2024","Tue Feb 06 19:10:59 GMT 2024","204","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectText","selenideSiteShouldDisplayCorrectText(Languege) [2] EN",""
"passed","Tue Feb 06 19:10:14 GMT 2024","Tue Feb 06 19:10:15 GMT 2024","1240","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","negativeTest","negativeTest()",""
"passed","Tue Feb 06 19:10:35 GMT 2024","Tue Feb 06 19:10:39 GMT 2024","4159","","hw6.HoverAndClick","","hw6.HoverAndClick","hoverAndClickTest","hoverAndClickTest()",""
"passed","Tue Feb 06 19:09:48 GMT 2024","Tue Feb 06 19:09:50 GMT 2024","2064","","files.homework.ZipFileTest","","files.homework.ZipFileTest","zipParsingPdfTest","Чтение PDF из zip архива",""
"passed","Tue Feb 06 19:09:43 GMT 2024","Tue Feb 06 19:09:45 GMT 2024","2143","","allure.lesson.StepsTest","","allure.lesson.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Tue Feb 06 19:11:26 GMT 2024","Tue Feb 06 19:11:26 GMT 2024","593","","testgithubselenide.Homework","","testgithubselenide.Homework","testJunitExampleCode","testJunitExampleCode()",""
"passed","Tue Feb 06 19:11:26 GMT 2024","Tue Feb 06 19:11:27 GMT 2024","1273","","testgithubselenide.Homework","","testgithubselenide.Homework","testSoftAssertions","testSoftAssertions()",""
"passed","Tue Feb 06 19:10:11 GMT 2024","Tue Feb 06 19:10:14 GMT 2024","2384","","hw.PracticeFormPageObjectTest","","hw.PracticeFormPageObjectTest","formWithMinData","formWithMinData()",""
"passed","Tue Feb 06 19:09:45 GMT 2024","Tue Feb 06 19:09:47 GMT 2024","2180","","allure.lesson.StepsTest","","allure.lesson.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Tue Feb 06 19:10:48 GMT 2024","Tue Feb 06 19:10:50 GMT 2024","1847","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [3] JACKET",""
"passed","Tue Feb 06 19:10:44 GMT 2024","Tue Feb 06 19:10:46 GMT 2024","1875","","Параметризованный тест c Enum Классом","","junit.homework1.annotation.ShoppingCartWithEnumTest","cartShouldHaveExpectedInfo","cartShouldHaveExpectedInfo(Products) [1] BACKPACK",""
"failed","Tue Feb 06 19:10:59 GMT 2024","Tue Feb 06 19:11:08 GMT 2024","9373","","junit.lesson1.annotation.WebTest","","junit.lesson1.annotation.WebTest","serchResultShouldContainExpectedUrl","serchResultShouldContainExpectedUrl(String, String) В первой карточке должна быть ссылка https://ru.selenide.org/ для поискового запроса Selenide",""
"failed","Tue Feb 06 19:10:28 GMT 2024","Tue Feb 06 19:10:34 GMT 2024","6234","","hw.PracticeFormWithFakerTest","","hw.PracticeFormWithFakerTest","practiceFormTest","practiceFormTest()",""
"passed","Tue Feb 06 19:10:50 GMT 2024","Tue Feb 06 19:10:52 GMT 2024","1795","","Параметризованный тест для домашнего задания","","junit.homework1.annotation.ShoppingCartWithValueSoursTest","buttonShouldHaveTextRemove","buttonShouldHaveTextRemove(String) Поиск товара Sauce Labs Backpack",""
"passed","Tue Feb 06 19:10:58 GMT 2024","Tue Feb 06 19:10:58 GMT 2024","292","","junit.lesson1.annotation.SelenideWebTest","","junit.lesson1.annotation.SelenideWebTest","selenideSiteShouldDisplayCorrectButtons","selenideSiteShouldDisplayCorrectButtons(Languege, List) [2] RU, [С чего начать?, Док, ЧАВО, Блог, Javadoc, Пользователи, Отзывы]",""
